444,5
1764,3
1845,4
237,4
500,2
2137,2
1865,0
1778,5
445,5
1846,0
2109,5
2195,1
886,2
1167,6
446,5
454,5
2138,4
2035,5
585,5
1709,5
1213,0
1960,4
582,1
1620,2
2141,4
640,0
1312,5
1323,2
1201,5
1847,3
730,6
2383,5
847,6
688,5
251,4
252,4
690,5
1093,4
1094,1
253,4
254,0
280,2
1250,1
1192,5
2440,6
459,4
1258,5
1171,6
281,2
2441,6
2442,6
1045,2
174,0
2331,1
414,0
1209,1
1941,0
415,4
1078,5
1682,5
417,4
484,2
420,4
1291,6
2444,1
29,6
2445,2
240,5
1933,6
92,0
82,2
1304,5
1811,4
83,2
93,6
84,2
1048,5
525,0
1787,0
1674,5
320,4
1761,5
97,2
1121,4
8,3
529,0
1577,0
1228,5
1747,5
9,4
2264,2
2265,2
2266,2
1925,6
1648,5
2367,0
1033,2
972,1
1581,5
321,5
2225,4
1070,5
1693,2
503,3
592,2
593,2
264,0
353,5
2102,5
1926,5
1730,5
265,0
1621,2
2386,6
1993,2
1849,4
699,3
641,1
702,5
157,5
1056,5
158,5
474,5
1611,2
160,5
1561,4
479,1
700,0
2348,2
292,4
475,5
556,5
2422,3
175,3
941,2
943,2
1540,1
998,0
2026,1
643,5
1174,5
551,5
1265,1
1042,5
2482,6
1659,4
1357,6
1137,6
602,0
1140,5
1718,5
2350,5
992,2
2446,3
363,0
603,0
364,5
993,2
422,4
0,1
899,0
194,6
521,4
1,1
1256,5
1812,2
487,0
661,6
931,4
2074,5
1745,5
662,0
2451,3
2368,5
1943,5
1195,0
2271,2
2455,6
1292,2
2228,4
1934,5
1153,1
1154,1
2298,5
962,1
231,5
232,5
1868,4
1985,5
701,0
965,5
1014,5
354,5
1881,5
355,5
773,5
966,5
779,5
586,0
1508,1
1313,4
1694,2
1994,5
823,4
1018,5
1966,6
342,5
2426,2
537,1
2040,4
2391,6
2429,6
2430,3
504,3
2392,6
435,0
105,1
2352,5
373,5
2169,6
2119,5
2432,5
1967,5
2353,5
176,6
561,1
923,5
1927,4
1895,5
2343,0
848,1
1322,5
647,6
1217,2
179,4
1690,2
490,2
45,0
1064,4
1317,5
2461,5
2062,0
289,6
1360,5
196,5
1914,6
1691,2
1695,5
761,6
1374,5
1427,0
1057,1
762,6
892,0
1127,5
809,5
974,2
1144,5
1640,1
810,4
976,2
977,2
1754,4
1767,2
978,2
1649,2
1128,4
1052,5
510,6
512,6
969,3
1944,0
1415,6
79,6
1512,1
1344,5
1588,2
2105,5
85,4
161,4
436,0
1995,5
163,4
1455,0
1760,6
1011,5
1369,6
1354,5
1875,4
805,4
375,0
2394,1
705,5
2043,5
1104,2
1988,6
738,3
2314,5
2433,3
2028,0
137,6
377,0
379,5
827,4
138,0
787,0
882,2
142,2
883,2
884,2
2029,5
2396,1
2316,5
1334,5
885,2
1358,4
670,0
1915,3
1770,5
2153,5
2176,5
673,2
674,2
468,1
46,3
32,2
1212,5
62,2
1498,3
1917,5
431,5
